"","N1","N2","N3","T1","T2","T3"
"SCMH1",12.7594018218825,0,0.307337634675684,389.658256990711,776.168603142997,460.689428052623
"FYN",112.063770079494,241.81748807032,100.897177481556,82.00747829848,23.2224706117548,82.0672317689684
"HIVEP2",82.2009030275547,447.816539704208,16.0170673328815,293.68837664973,425.083860120294,158.179233299014
"FMO1",6.68298368202072,5.80599515507871,0,2.32486166018865,3.34990728910339,7.8165035235212
"ELOA",203.797916908423,147.703046806795,13.6697315717834,676.588423263181,1289.28116278815,752.665948170037
"LYPLA2",296.927186629829,316.51076045596,53.4898073950031,4446.57651305122,9281.71492686013,5082.45631739377
"CLCN6",167.690458707234,98.5576047330669,7.11133278913864,112.063399306799,181.045707028106,78.4468974484842
"MRC2",94.129582446463,268.272129140078,19.1875822619987,169.679039245969,108.959407879996,407.307299195813
"NME1-NME2",0,31.6038719292066,0,2403.79177738133,3437.35654325863,603.336067285556
"SLC6A7",43.2915505027056,131.63932710488,0,0,1.15979105832697,0
"TSPAN9",264.775359576519,113.226583054476,0,36.9914112030204,938.335879193277,117.368726615509
"BTBD7",270.621951604788,144.102155429249,4.29001951144863,314.034430947994,519.619615905093,287.751977846015
"APBA3",172.443461118749,315.284787359706,23.9040019776603,266.599449159429,363.48852922801,225.661808295641
"MKS1",156.888587171353,47.2434803983994,0,382.569319761491,822.46553190727,277.131938357829
"ABHD5",439.571515476862,2205.32989172409,52.1789639142737,639.579945682485,886.664135463078,964.580243615251
"ANOS1",25.1353319779007,41.2325569973524,0,4.98127717742325,2.06794292956934,25.113694833949
"AKAP8L",241.656686398588,417.360632129252,32.3485919457591,1644.14648154832,1568.95439582453,1077.83985790577
"MBTD1",404.375079300986,198.821855037216,4.19001800292774,263.844469672447,646.757456666462,157.540424045217
